处方类型,CV_ka,CV_V,样本量,试验编号,GMR (%),90% CI 低 (%),90% CI 高 (%),均值差 (log),SE,是否通过BE
优质处方,0.2,0.15,36,407,101.13,95.99,106.55,0.0113,0.0309,通过
优质处方,0.2,0.15,36,408,102.57,98.57,106.74,0.0254,0.0236,通过
优质处方,0.2,0.15,36,409,102.18,97.62,106.95,0.0215,0.027,通过
优质处方,0.2,0.15,36,410,102.44,98.78,106.24,0.0241,0.0215,通过
优质处方,0.2,0.15,36,411,103.15,98.4,108.14,0.031,0.0279,通过
优质处方,0.2,0.15,36,412,103.2,98.75,107.84,0.0315,0.0261,通过
优质处方,0.2,0.15,36,413,101.46,96.7,106.45,0.0145,0.0284,通过
优质处方,0.2,0.15,36,414,98.46,94.93,102.12,-0.0155,0.0216,通过
优质处方,0.2,0.15,36,415,101.41,97.09,105.92,0.014,0.0258,通过
优质处方,0.2,0.15,36,416,98.04,94.32,101.9,-0.0198,0.0229,通过
优质处方,0.2,0.15,36,417,101.95,98.08,105.97,0.0193,0.0229,通过
优质处方,0.2,0.15,36,418,96.62,92.73,100.68,-0.0343,0.0243,通过
优质处方,0.2,0.15,36,419,97.55,93.14,102.17,-0.0248,0.0274,通过
优质处方,0.2,0.15,36,420,100.25,95.62,105.1,0.0025,0.028,通过
优质处方,0.2,0.15,36,421,94.07,89.21,99.2,-0.0611,0.0314,通过
优质处方,0.2,0.15,36,422,99.24,93.92,104.86,-0.0077,0.0326,通过
优质处方,0.2,0.15,36,423,100.66,96.48,105.03,0.0066,0.0251,通过
优质处方,0.2,0.15,36,424,100.97,96.18,105.99,0.0096,0.0288,通过
优质处方,0.2,0.15,36,425,99.49,95.0,104.2,-0.0051,0.0273,通过
优质处方,0.2,0.15,36,426,102.21,97.82,106.79,0.0218,0.026,通过
优质处方,0.2,0.15,36,427,103.18,98.38,108.23,0.0313,0.0282,通过
优质处方,0.2,0.15,36,428,98.58,94.27,103.08,-0.0143,0.0264,通过
优质处方,0.2,0.15,36,429,99.53,95.54,103.67,-0.0047,0.0242,通过
优质处方,0.2,0.15,36,430,101.92,98.09,105.89,0.019,0.0226,通过
优质处方,0.2,0.15,36,431,99.96,95.16,104.99,-0.0004,0.0291,通过
优质处方,0.2,0.15,36,432,105.95,101.5,110.59,0.0578,0.0254,通过
优质处方,0.2,0.15,36,433,99.59,95.02,104.37,-0.0042,0.0278,通过
优质处方,0.2,0.15,36,434,100.26,96.58,104.07,0.0026,0.0221,通过
优质处方,0.2,0.15,36,435,101.29,96.57,106.25,0.0129,0.0283,通过
优质处方,0.2,0.15,36,436,100.84,96.62,105.23,0.0083,0.0253,通过
优质处方,0.2,0.15,36,437,104.24,99.29,109.44,0.0416,0.0288,通过
优质处方,0.2,0.15,36,438,106.77,101.92,111.85,0.0655,0.0275,通过
优质处方,0.2,0.15,36,439,98.49,93.51,103.74,-0.0152,0.0307,通过
优质处方,0.2,0.15,36,440,107.44,103.26,111.79,0.0717,0.0235,通过
优质处方,0.2,0.15,36,441,103.39,99.27,107.68,0.0334,0.0241,通过
优质处方,0.2,0.15,36,442,97.92,92.94,103.16,-0.021,0.0309,通过
优质处方,0.2,0.15,36,443,105.77,101.39,110.34,0.0561,0.025,通过
优质处方,0.2,0.15,36,444,104.79,100.27,109.52,0.0468,0.0261,通过
优质处方,0.2,0.15,36,445,99.76,95.93,103.75,-0.0024,0.0232,通过
优质处方,0.2,0.15,36,446,97.63,93.28,102.19,-0.024,0.027,通过
优质处方,0.2,0.15,36,447,104.35,100.3,108.56,0.0426,0.0234,通过
优质处方,0.2,0.15,36,448,99.0,94.87,103.31,-0.01,0.0252,通过
优质处方,0.2,0.15,36,449,96.61,91.83,101.63,-0.0345,0.03,通过
优质处方,0.2,0.15,36,450,102.75,97.72,108.05,0.0272,0.0297,通过
优质处方,0.2,0.15,36,451,102.54,98.28,106.99,0.0251,0.0251,通过
优质处方,0.2,0.15,36,452,100.88,97.19,104.72,0.0088,0.0221,通过
优质处方,0.2,0.15,36,453,98.65,95.32,102.09,-0.0136,0.0203,通过
优质处方,0.2,0.15,36,454,98.48,93.87,103.31,-0.0154,0.0284,通过
优质处方,0.2,0.15,36,455,99.23,94.7,103.98,-0.0077,0.0277,通过
优质处方,0.2,0.15,36,456,101.84,97.38,106.5,0.0182,0.0265,通过
优质处方,0.2,0.15,36,457,99.41,94.86,104.19,-0.0059,0.0278,通过
优质处方,0.2,0.15,36,458,102.91,98.12,107.93,0.0287,0.0282,通过
优质处方,0.2,0.15,36,459,99.82,95.46,104.37,-0.0018,0.0264,通过
优质处方,0.2,0.15,36,460,99.84,96.7,103.08,-0.0016,0.0189,通过
优质处方,0.2,0.15,36,461,103.76,99.06,108.68,0.0369,0.0274,通过
优质处方,0.2,0.15,36,462,99.89,94.08,106.06,-0.0011,0.0355,通过
优质处方,0.2,0.15,36,463,96.36,92.35,100.53,-0.0371,0.0251,通过
优质处方,0.2,0.15,36,464,101.77,97.34,106.4,0.0175,0.0263,通过
优质处方,0.2,0.15,36,465,102.87,98.57,107.37,0.0283,0.0253,通过
优质处方,0.2,0.15,36,466,104.2,99.54,109.07,0.0411,0.027,通过
优质处方,0.2,0.15,36,467,102.37,97.61,107.37,0.0235,0.0282,通过
优质处方,0.2,0.15,36,468,101.48,97.21,105.94,0.0147,0.0254,通过
优质处方,0.2,0.15,36,469,101.15,97.33,105.11,0.0114,0.0228,通过
优质处方,0.2,0.15,36,470,97.2,93.28,101.29,-0.0284,0.0244,通过
优质处方,0.2,0.15,36,471,98.41,94.14,102.87,-0.016,0.0262,通过
优质处方,0.2,0.15,36,472,102.4,96.95,108.16,0.0237,0.0324,通过
优质处方,0.2,0.15,36,473,98.52,93.26,104.07,-0.0149,0.0325,通过
优质处方,0.2,0.15,36,474,101.48,97.28,105.87,0.0147,0.025,通过
优质处方,0.2,0.15,36,475,103.05,98.79,107.49,0.03,0.025,通过
优质处方,0.2,0.15,36,476,103.18,99.59,106.91,0.0313,0.021,通过
优质处方,0.2,0.15,36,477,102.13,96.57,108.02,0.0211,0.0332,通过
优质处方,0.2,0.15,36,478,98.78,93.94,103.87,-0.0123,0.0297,通过
优质处方,0.2,0.15,36,479,100.4,95.89,105.12,0.004,0.0272,通过
优质处方,0.2,0.15,36,480,100.52,96.47,104.74,0.0052,0.0244,通过
优质处方,0.2,0.15,36,481,95.69,91.84,99.7,-0.044,0.0243,通过
优质处方,0.2,0.15,36,482,103.38,98.6,108.4,0.0333,0.028,通过
优质处方,0.2,0.15,36,483,99.76,95.44,104.27,-0.0024,0.0262,通过
优质处方,0.2,0.15,36,484,98.98,93.72,104.54,-0.0103,0.0323,通过
优质处方,0.2,0.15,36,485,106.93,102.75,111.28,0.067,0.0236,通过
优质处方,0.2,0.15,36,486,103.24,99.59,107.03,0.0319,0.0213,通过
优质处方,0.2,0.15,36,487,101.19,97.36,105.17,0.0118,0.0228,通过
优质处方,0.2,0.15,36,488,100.8,96.58,105.19,0.0079,0.0253,通过
优质处方,0.2,0.15,36,489,106.36,101.69,111.26,0.0617,0.0266,通过
优质处方,0.2,0.15,36,490,100.45,96.51,104.56,0.0045,0.0237,通过
优质处方,0.2,0.15,36,491,99.82,95.74,104.07,-0.0018,0.0247,通过
优质处方,0.2,0.15,36,492,97.84,93.61,102.25,-0.0219,0.0261,通过
优质处方,0.2,0.15,36,493,99.17,94.94,103.58,-0.0083,0.0258,通过
优质处方,0.2,0.15,36,494,100.5,96.54,104.61,0.005,0.0238,通过
优质处方,0.2,0.15,36,495,99.6,94.99,104.44,-0.004,0.0281,通过
优质处方,0.2,0.15,36,496,97.69,93.36,102.23,-0.0233,0.0268,通过
优质处方,0.2,0.15,36,497,107.27,103.04,111.67,0.0702,0.0238,通过
优质处方,0.2,0.15,36,498,102.67,98.34,107.2,0.0264,0.0255,通过
优质处方,0.2,0.15,36,499,98.41,93.98,103.05,-0.0161,0.0273,通过
优质处方,0.2,0.15,36,500,103.53,99.42,107.82,0.0347,0.024,通过
优质处方,0.2,0.15,48,1,99.44,95.19,103.89,-0.0056,0.0261,通过
优质处方,0.2,0.15,48,2,101.52,98.1,105.06,0.0151,0.0204,通过
优质处方,0.2,0.15,48,3,99.76,96.41,103.23,-0.0024,0.0204,通过
优质处方,0.2,0.15,48,4,99.17,95.64,102.82,-0.0084,0.0216,通过
优质处方,0.2,0.15,48,5,102.85,99.18,106.66,0.0281,0.0217,通过
优质处方,0.2,0.15,48,6,97.92,94.6,101.36,-0.021,0.0206,通过
优质处方,0.2,0.15,48,7,98.77,95.2,102.47,-0.0124,0.0219,通过
优质处方,0.2,0.15,48,8,101.48,97.91,105.19,0.0147,0.0214,通过
优质处方,0.2,0.15,48,9,101.6,97.29,106.09,0.0158,0.0258,通过
优质处方,0.2,0.15,48,10,96.49,92.9,100.22,-0.0357,0.0226,通过
优质处方,0.2,0.15,48,11,98.77,95.24,102.44,-0.0123,0.0217,通过
优质处方,0.2,0.15,48,12,97.64,94.32,101.07,-0.0239,0.0206,通过
优质处方,0.2,0.15,48,13,99.23,95.05,103.6,-0.0077,0.0257,通过
优质处方,0.2,0.15,48,14,101.93,97.79,106.24,0.0191,0.0247,通过
优质处方,0.2,0.15,48,15,103.02,99.05,107.15,0.0298,0.0234,通过
优质处方,0.2,0.15,48,16,102.25,98.89,105.73,0.0223,0.0199,通过
优质处方,0.2,0.15,48,17,102.34,98.49,106.33,0.0231,0.0228,通过
优质处方,0.2,0.15,48,18,101.4,97.43,105.54,0.0139,0.0238,通过
优质处方,0.2,0.15,48,19,98.81,95.21,102.55,-0.012,0.0221,通过
优质处方,0.2,0.15,48,20,102.78,98.46,107.29,0.0274,0.0256,通过
优质处方,0.2,0.15,48,21,102.32,98.42,106.38,0.023,0.0232,通过
优质处方,0.2,0.15,48,22,102.68,99.22,106.27,0.0265,0.0205,通过
优质处方,0.2,0.15,48,23,103.82,100.17,107.61,0.0375,0.0214,通过
优质处方,0.2,0.15,48,24,102.14,98.52,105.9,0.0212,0.0215,通过
优质处方,0.2,0.15,48,25,97.38,93.62,101.3,-0.0265,0.0235,通过
优质处方,0.2,0.15,48,26,100.63,97.01,104.37,0.0062,0.0218,通过
优质处方,0.2,0.15,48,27,100.27,97.07,103.58,0.0027,0.0193,通过
优质处方,0.2,0.15,48,28,104.27,99.84,108.89,0.0418,0.0259,通过
优质处方,0.2,0.15,48,29,105.82,101.92,109.87,0.0566,0.0224,通过
优质处方,0.2,0.15,48,30,99.96,96.49,103.56,-0.0004,0.021,通过
优质处方,0.2,0.15,48,31,103.51,99.71,107.45,0.0345,0.0223,通过
优质处方,0.2,0.15,48,32,102.71,98.36,107.26,0.0267,0.0258,通过
优质处方,0.2,0.15,48,33,98.98,95.35,102.75,-0.0103,0.0223,通过
优质处方,0.2,0.15,48,34,99.12,95.12,103.29,-0.0088,0.0246,通过
优质处方,0.2,0.15,48,35,99.4,95.51,103.45,-0.006,0.0238,通过
优质处方,0.2,0.15,48,36,101.31,98.27,104.43,0.013,0.0181,通过
优质处方,0.2,0.15,48,37,100.03,95.92,104.31,0.0003,0.025,通过
优质处方,0.2,0.15,48,38,100.99,97.3,104.83,0.0099,0.0222,通过
优质处方,0.2,0.15,48,39,103.56,100.15,107.07,0.0349,0.0199,通过
优质处方,0.2,0.15,48,40,103.99,100.19,107.94,0.0392,0.0222,通过
优质处方,0.2,0.15,48,41,97.54,93.6,101.65,-0.0249,0.0246,通过
优质处方,0.2,0.15,48,42,100.7,97.19,104.35,0.007,0.0212,通过
优质处方,0.2,0.15,48,43,100.45,95.89,105.23,0.0045,0.0277,通过
优质处方,0.2,0.15,48,44,100.75,96.8,104.87,0.0075,0.0238,通过
优质处方,0.2,0.15,48,45,100.22,96.84,103.71,0.0022,0.0204,通过
优质处方,0.2,0.15,48,46,101.64,97.9,105.52,0.0162,0.0224,通过
优质处方,0.2,0.15,48,47,97.69,93.83,101.71,-0.0234,0.024,通过
优质处方,0.2,0.15,48,48,103.72,99.81,107.79,0.0365,0.0229,通过
优质处方,0.2,0.15,48,49,99.22,95.66,102.92,-0.0078,0.0218,通过
优质处方,0.2,0.15,48,50,101.02,97.54,104.62,0.0102,0.0209,通过
优质处方,0.2,0.15,48,51,94.3,90.39,98.39,-0.0586,0.0253,通过
优质处方,0.2,0.15,48,52,104.78,100.77,108.95,0.0467,0.0233,通过
优质处方,0.2,0.15,48,53,100.54,97.58,103.59,0.0054,0.0178,通过
优质处方,0.2,0.15,48,54,100.87,97.32,104.56,0.0087,0.0214,通过
优质处方,0.2,0.15,48,55,101.71,97.95,105.62,0.017,0.0225,通过
优质处方,0.2,0.15,48,56,103.7,99.44,108.14,0.0363,0.025,通过
优质处方,0.2,0.15,48,57,104.21,100.79,107.75,0.0412,0.0199,通过
优质处方,0.2,0.15,48,58,95.76,92.49,99.14,-0.0434,0.0207,通过
优质处方,0.2,0.15,48,59,99.12,95.68,102.67,-0.0089,0.021,通过
优质处方,0.2,0.15,48,60,99.5,95.25,103.93,-0.0051,0.026,通过
优质处方,0.2,0.15,48,61,99.38,95.85,103.04,-0.0062,0.0216,通过
优质处方,0.2,0.15,48,62,101.14,97.72,104.68,0.0113,0.0205,通过
优质处方,0.2,0.15,48,63,99.82,95.85,103.94,-0.0018,0.0242,通过
优质处方,0.2,0.15,48,64,98.75,95.11,102.54,-0.0125,0.0224,通过
优质处方,0.2,0.15,48,65,102.35,97.96,106.94,0.0232,0.0261,通过
优质处方,0.2,0.15,48,66,99.37,95.6,103.29,-0.0063,0.023,通过
优质处方,0.2,0.15,48,67,101.78,97.1,106.68,0.0176,0.0281,通过
优质处方,0.2,0.15,48,68,103.78,100.63,107.04,0.0371,0.0184,通过
优质处方,0.2,0.15,48,69,98.69,95.11,102.41,-0.0131,0.022,通过
优质处方,0.2,0.15,48,70,103.39,99.57,107.36,0.0333,0.0224,通过
优质处方,0.2,0.15,48,71,104.62,100.73,108.66,0.0452,0.0226,通过
优质处方,0.2,0.15,48,72,102.5,99.35,105.74,0.0247,0.0186,通过
优质处方,0.2,0.15,48,73,101.86,98.14,105.73,0.0185,0.0222,通过
优质处方,0.2,0.15,48,74,100.64,97.16,104.24,0.0063,0.021,通过
优质处方,0.2,0.15,48,75,100.52,96.3,104.92,0.0052,0.0255,通过
优质处方,0.2,0.15,48,76,97.58,94.08,101.2,-0.0245,0.0217,通过
优质处方,0.2,0.15,48,77,101.15,97.52,104.92,0.0115,0.0218,通过
优质处方,0.2,0.15,48,78,102.78,99.15,106.55,0.0274,0.0214,通过
优质处方,0.2,0.15,48,79,102.85,99.37,106.45,0.0281,0.0205,通过
优质处方,0.2,0.15,48,80,103.1,99.15,107.21,0.0305,0.0233,通过
优质处方,0.2,0.15,48,81,101.83,97.97,105.84,0.0181,0.023,通过
优质处方,0.2,0.15,48,82,103.72,99.97,107.61,0.0365,0.0219,通过
优质处方,0.2,0.15,48,83,101.18,96.88,105.67,0.0118,0.0259,通过
优质处方,0.2,0.15,48,84,101.57,97.9,105.39,0.0156,0.022,通过
优质处方,0.2,0.15,48,85,101.96,97.95,106.14,0.0194,0.0239,通过
优质处方,0.2,0.15,48,86,95.57,91.48,99.84,-0.0453,0.0261,通过
优质处方,0.2,0.15,48,87,97.76,94.17,101.49,-0.0226,0.0223,通过
优质处方,0.2,0.15,48,88,102.41,98.74,106.22,0.0238,0.0218,通过
优质处方,0.2,0.15,48,89,106.08,101.61,110.75,0.059,0.0256,通过
优质处方,0.2,0.15,48,90,99.54,95.77,103.46,-0.0046,0.023,通过
优质处方,0.2,0.15,48,91,104.91,100.22,109.83,0.048,0.0273,通过
优质处方,0.2,0.15,48,92,99.55,95.5,103.78,-0.0045,0.0248,通过
优质处方,0.2,0.15,48,93,101.94,97.6,106.47,0.0192,0.0259,通过
优质处方,0.2,0.15,48,94,103.87,98.9,109.08,0.0379,0.0292,通过
优质处方,0.2,0.15,48,95,102.62,98.16,107.28,0.0258,0.0265,通过
优质处方,0.2,0.15,48,96,100.88,97.88,103.97,0.0088,0.018,通过
优质处方,0.2,0.15,48,97,98.14,93.93,102.53,-0.0188,0.0261,通过
优质处方,0.2,0.15,48,98,99.65,96.43,102.98,-0.0035,0.0196,通过
优质处方,0.2,0.15,48,99,105.47,101.87,109.21,0.0533,0.0207,通过
优质处方,0.2,0.15,48,100,98.23,94.61,101.99,-0.0178,0.0224,通过
优质处方,0.2,0.15,48,101,103.28,99.72,106.98,0.0323,0.021,通过
优质处方,0.2,0.15,48,102,103.42,99.64,107.34,0.0336,0.0222,通过
优质处方,0.2,0.15,48,103,101.47,97.83,105.26,0.0146,0.0218,通过
优质处方,0.2,0.15,48,104,100.33,96.54,104.26,0.0032,0.0229,通过
优质处方,0.2,0.15,48,105,99.94,96.42,103.59,-0.0006,0.0214,通过
优质处方,0.2,0.15,48,106,101.59,97.28,106.09,0.0158,0.0259,通过
优质处方,0.2,0.15,48,107,101.09,97.19,105.14,0.0108,0.0234,通过
优质处方,0.2,0.15,48,108,102.53,98.98,106.2,0.0249,0.021,通过
优质处方,0.2,0.15,48,109,100.7,97.06,104.48,0.007,0.0219,通过
优质处方,0.2,0.15,48,110,101.51,97.13,106.09,0.015,0.0263,通过
优质处方,0.2,0.15,48,111,100.6,96.82,104.52,0.0059,0.0228,通过
优质处方,0.2,0.15,48,112,100.93,97.64,104.33,0.0092,0.0198,通过
优质处方,0.2,0.15,48,113,100.97,96.86,105.26,0.0097,0.0248,通过
优质处方,0.2,0.15,48,114,105.16,101.06,109.42,0.0503,0.0237,通过
优质处方,0.2,0.15,48,115,97.6,93.79,101.56,-0.0243,0.0237,通过
优质处方,0.2,0.15,48,116,99.44,95.3,103.76,-0.0056,0.0253,通过
优质处方,0.2,0.15,48,117,101.11,97.73,104.61,0.0111,0.0203,通过
优质处方,0.2,0.15,48,118,100.4,96.09,104.89,0.0039,0.0261,通过
优质处方,0.2,0.15,48,119,102.11,98.86,105.46,0.0209,0.0193,通过
优质处方,0.2,0.15,48,120,102.3,98.6,106.15,0.0228,0.022,通过
优质处方,0.2,0.15,48,121,99.58,96.48,102.79,-0.0042,0.0189,通过
优质处方,0.2,0.15,48,122,100.62,97.17,104.19,0.0062,0.0208,通过
优质处方,0.2,0.15,48,123,97.92,93.64,102.4,-0.021,0.0266,通过
优质处方,0.2,0.15,48,124,100.53,96.81,104.4,0.0053,0.0225,通过
优质处方,0.2,0.15,48,125,99.6,96.17,103.15,-0.004,0.0209,通过
优质处方,0.2,0.15,48,126,98.9,95.7,102.2,-0.0111,0.0196,通过
优质处方,0.2,0.15,48,127,101.6,97.78,105.56,0.0158,0.0228,通过
优质处方,0.2,0.15,48,128,99.02,95.35,102.83,-0.0099,0.0225,通过
优质处方,0.2,0.15,48,129,101.68,97.97,105.53,0.0167,0.0221,通过
优质处方,0.2,0.15,48,130,104.01,100.09,108.09,0.0393,0.0229,通过
优质处方,0.2,0.15,48,131,102.74,98.93,106.69,0.027,0.0225,通过
优质处方,0.2,0.15,48,132,101.05,97.13,105.13,0.0104,0.0236,通过
优质处方,0.2,0.15,48,133,101.03,96.79,105.47,0.0103,0.0256,通过
优质处方,0.2,0.15,48,134,102.49,98.44,106.71,0.0246,0.0241,通过
优质处方,0.2,0.15,48,135,99.49,95.39,103.77,-0.0051,0.0251,通过
优质处方,0.2,0.15,48,136,98.99,95.36,102.77,-0.0101,0.0223,通过
优质处方,0.2,0.15,48,137,102.65,98.97,106.46,0.0261,0.0218,通过
优质处方,0.2,0.15,48,138,98.66,95.36,102.08,-0.0135,0.0203,通过
优质处方,0.2,0.15,48,139,102.38,98.73,106.15,0.0235,0.0216,通过
优质处方,0.2,0.15,48,140,100.19,96.69,103.81,0.0019,0.0212,通过
优质处方,0.2,0.15,48,141,103.51,100.18,106.95,0.0345,0.0195,通过
优质处方,0.2,0.15,48,142,101.17,97.75,104.71,0.0117,0.0205,通过
优质处方,0.2,0.15,48,143,101.44,97.51,105.53,0.0143,0.0235,通过
优质处方,0.2,0.15,48,144,105.17,101.58,108.9,0.0505,0.0207,通过
优质处方,0.2,0.15,48,145,98.91,94.8,103.2,-0.0109,0.0253,通过
优质处方,0.2,0.15,48,146,98.96,95.57,102.48,-0.0104,0.0208,通过
优质处方,0.2,0.15,48,147,100.09,95.68,104.71,0.0009,0.0269,通过
优质处方,0.2,0.15,48,148,102.05,98.07,106.2,0.0203,0.0237,通过
优质处方,0.2,0.15,48,149,100.11,96.35,104.01,0.0011,0.0228,通过
优质处方,0.2,0.15,48,150,100.49,97.1,104.0,0.0049,0.0205,通过
优质处方,0.2,0.15,48,151,101.44,97.53,105.52,0.0143,0.0235,通过
优质处方,0.2,0.15,48,152,101.01,97.46,104.69,0.01,0.0213,通过
优质处方,0.2,0.15,48,153,100.23,97.02,103.54,0.0023,0.0194,通过
优质处方,0.2,0.15,48,154,99.01,95.89,102.22,-0.01,0.019,通过
优质处方,0.2,0.15,48,155,101.5,97.39,105.78,0.0149,0.0246,通过
优质处方,0.2,0.15,48,156,99.45,95.82,103.22,-0.0055,0.0222,通过
优质处方,0.2,0.15,48,157,103.32,99.94,106.81,0.0326,0.0198,通过
优质处方,0.2,0.15,48,158,103.28,99.54,107.15,0.0323,0.022,通过
优质处方,0.2,0.15,48,159,100.66,96.34,105.17,0.0066,0.0262,通过
优质处方,0.2,0.15,48,160,103.76,99.85,107.82,0.0369,0.0229,通过
优质处方,0.2,0.15,48,161,102.58,98.47,106.87,0.0255,0.0244,通过
优质处方,0.2,0.15,48,162,100.98,97.57,104.51,0.0097,0.0205,通过
优质处方,0.2,0.15,48,163,100.16,95.48,105.08,0.0016,0.0286,通过
优质处方,0.2,0.15,48,164,98.72,95.38,102.17,-0.0129,0.0205,通过
优质处方,0.2,0.15,48,165,101.08,97.21,105.09,0.0107,0.0232,通过
优质处方,0.2,0.15,48,166,103.51,99.39,107.79,0.0345,0.0242,通过
优质处方,0.2,0.15,48,167,96.67,93.32,100.13,-0.0339,0.021,通过
优质处方,0.2,0.15,48,168,100.71,97.68,103.83,0.0071,0.0182,通过
优质处方,0.2,0.15,48,169,105.72,102.43,109.11,0.0556,0.0188,通过
优质处方,0.2,0.15,48,170,100.35,97.28,103.53,0.0035,0.0185,通过
优质处方,0.2,0.15,48,171,100.47,96.91,104.17,0.0047,0.0215,通过
优质处方,0.2,0.15,48,172,98.98,95.68,102.39,-0.0103,0.0202,通过
优质处方,0.2,0.15,48,173,104.57,100.68,108.61,0.0447,0.0226,通过
优质处方,0.2,0.15,48,174,102.35,98.01,106.89,0.0233,0.0258,通过
优质处方,0.2,0.15,48,175,100.6,96.63,104.72,0.006,0.024,通过
优质处方,0.2,0.15,48,176,100.25,96.28,104.39,0.0025,0.0241,通过
优质处方,0.2,0.15,48,177,99.41,95.92,103.03,-0.0059,0.0213,通过
优质处方,0.2,0.15,48,178,100.2,96.59,103.95,0.002,0.0219,通过
优质处方,0.2,0.15,48,179,98.25,93.8,102.9,-0.0177,0.0276,通过
优质处方,0.2,0.15,48,180,97.94,94.23,101.8,-0.0208,0.023,通过
优质处方,0.2,0.15,48,181,100.75,97.75,103.85,0.0075,0.0181,通过
优质处方,0.2,0.15,48,182,100.19,96.08,104.48,0.0019,0.025,通过
优质处方,0.2,0.15,48,183,101.76,98.17,105.49,0.0175,0.0215,通过
优质处方,0.2,0.15,48,184,104.15,100.59,107.84,0.0407,0.0207,通过
优质处方,0.2,0.15,48,185,99.16,95.34,103.14,-0.0084,0.0234,通过
优质处方,0.2,0.15,48,186,99.83,95.67,104.18,-0.0017,0.0254,通过
优质处方,0.2,0.15,48,187,101.75,97.51,106.17,0.0173,0.0253,通过
优质处方,0.2,0.15,48,188,102.15,98.61,105.82,0.0213,0.021,通过
优质处方,0.2,0.15,48,189,100.49,96.18,104.98,0.0048,0.0261,通过
优质处方,0.2,0.15,48,190,106.45,101.94,111.17,0.0625,0.0258,通过
优质处方,0.2,0.15,48,191,101.03,97.38,104.82,0.0103,0.0219,通过
优质处方,0.2,0.15,48,192,106.54,102.16,111.1,0.0633,0.025,通过
优质处方,0.2,0.15,48,193,105.37,101.55,109.34,0.0523,0.022,通过
优质处方,0.2,0.15,48,194,104.84,101.48,108.31,0.0473,0.0194,通过
优质处方,0.2,0.15,48,195,104.47,100.96,108.1,0.0437,0.0204,通过
优质处方,0.2,0.15,48,196,104.28,99.92,108.84,0.0419,0.0255,通过
优质处方,0.2,0.15,48,197,104.33,100.21,108.61,0.0424,0.024,通过
优质处方,0.2,0.15,48,198,103.45,100.18,106.83,0.0339,0.0191,通过
优质处方,0.2,0.15,48,199,100.15,96.98,103.42,0.0015,0.0191,通过
优质处方,0.2,0.15,48,200,105.89,102.07,109.85,0.0572,0.0219,通过
优质处方,0.2,0.15,48,201,98.68,95.1,102.4,-0.0133,0.022,通过
优质处方,0.2,0.15,48,202,105.41,101.13,109.86,0.0526,0.0247,通过
优质处方,0.2,0.15,48,203,101.72,98.3,105.27,0.0171,0.0204,通过
优质处方,0.2,0.15,48,204,107.41,102.88,112.13,0.0715,0.0257,通过
优质处方,0.2,0.15,48,205,102.96,99.35,106.7,0.0292,0.0213,通过
优质处方,0.2,0.15,48,206,96.25,92.69,99.95,-0.0382,0.0225,通过
优质处方,0.2,0.15,48,207,109.58,106.17,113.09,0.0915,0.0188,通过
优质处方,0.2,0.15,48,208,102.58,98.5,106.83,0.0255,0.0242,通过
优质处方,0.2,0.15,48,209,101.95,97.92,106.14,0.0193,0.024,通过
优质处方,0.2,0.15,48,210,99.38,96.08,102.8,-0.0062,0.0202,通过
优质处方,0.2,0.15,48,211,101.86,98.08,105.79,0.0185,0.0225,通过
优质处方,0.2,0.15,48,212,102.42,98.91,106.05,0.0239,0.0208,通过
优质处方,0.2,0.15,48,213,101.57,97.94,105.34,0.0156,0.0217,通过
优质处方,0.2,0.15,48,214,102.37,98.76,106.12,0.0235,0.0214,通过
优质处方,0.2,0.15,48,215,103.55,99.7,107.56,0.0349,0.0226,通过
优质处方,0.2,0.15,48,216,100.43,96.02,105.05,0.0043,0.0268,通过
优质处方,0.2,0.15,48,217,99.09,95.62,102.69,-0.0091,0.0212,通过
优质处方,0.2,0.15,48,218,100.07,96.65,103.6,0.0007,0.0207,通过
优质处方,0.2,0.15,48,219,100.88,96.99,104.93,0.0088,0.0234,通过
优质处方,0.2,0.15,48,220,104.61,100.41,108.98,0.0451,0.0244,通过
优质处方,0.2,0.15,48,221,103.41,99.76,107.19,0.0335,0.0214,通过
优质处方,0.2,0.15,48,222,101.82,97.86,105.94,0.0181,0.0236,通过
优质处方,0.2,0.15,48,223,102.87,99.21,106.65,0.0283,0.0215,通过
优质处方,0.2,0.15,48,224,100.17,96.47,104.01,0.0017,0.0224,通过
优质处方,0.2,0.15,48,225,102.26,98.23,106.45,0.0223,0.024,通过
优质处方,0.2,0.15,48,226,99.92,96.05,103.94,-0.0008,0.0235,通过
优质处方,0.2,0.15,48,227,104.35,100.76,108.07,0.0426,0.0209,通过
优质处方,0.2,0.15,48,228,103.25,100.0,106.61,0.032,0.0191,通过
优质处方,0.2,0.15,48,229,99.88,96.38,103.51,-0.0012,0.0213,通过
优质处方,0.2,0.15,48,230,101.73,97.64,106.0,0.0172,0.0245,通过
优质处方,0.2,0.15,48,231,102.08,97.72,106.65,0.0206,0.0261,通过
优质处方,0.2,0.15,48,232,98.88,94.72,103.23,-0.0112,0.0256,通过
优质处方,0.2,0.15,48,233,101.96,97.53,106.6,0.0194,0.0265,通过
优质处方,0.2,0.15,48,234,105.48,101.23,109.91,0.0534,0.0245,通过
优质处方,0.2,0.15,48,235,96.45,92.4,100.67,-0.0361,0.0255,通过
优质处方,0.2,0.15,48,236,97.44,93.16,101.91,-0.0259,0.0267,通过
